name	score	station	tel	address	latitude	longitude	open_time	closed_days	sheets	url	icon_url	x	delegate1	delegate2	geometry
支那麺 はしご 本店 （橋悟）	3.70	銀座駅	03-3571-1750	東京都中央区銀座6-3-5 第二ソワレ･ド･ビル 1F	35.67161392646259	139.76140683282404	[月～金]11:00～翌5:00[土・日・祝]11:00～21:00(L.O.20:50)	無休	24席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13092185/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/110504/110504258.jpg?token=1fb6c98&api=v2	1	0	0	POINT (139.761406832824 35.67161392646259)
銀座 八五 （はちごう）	3.70	東銀座駅	050-5596-6139	東京都中央区銀座3-14-2 第一はなぶさビル 1F	35.67053669419104	139.77013782398055	11：00~15：0017：00~21：00※スープがなくなり次第、営業終了とさせていただきます。【夏季休業のお知らせ】2019年8月19日(月)～8月23(金)を夏季休業とさせて頂きます。	［毎週水曜日］［第2第4木曜日】	6席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13228602/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/100178/100178274.jpg?token=a9038c2&api=v2	1	1	0	POINT (139.7701378239805 35.67053669419104)
銀座鴨そば 九代目けいすけ 銀座店	3.69	東銀座駅	03-6274-6655	東京都中央区銀座6-12-15 いちご銀座612ビル 1F	35.6692734011902	139.7647111106106	11:00～23:00(L.O.22:45)	年中無休	18席 （カウンター10席、テーブル8席）	https://tabelog.com/tokyo/A1301/A130101/13171787/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/40054/40054730.jpg?token=c640536&api=v2	1	0	0	POINT (139.7647111106106 35.6692734011902)
麺家 いし川	3.68	新橋駅	03-3432-0230	東京都港区西新橋2-23-2 日比谷パークビル 1F	35.665596373666666	139.75334139082838	[月～土]11:00～15:00[月～金]17:00～22:00（L.O.21:30）	日曜	12席 （カウンター席のみ）	https://tabelog.com/tokyo/A1301/A130103/13139811/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/118588/118588655.jpg?token=6c34115&api=v2	1	0	0	POINT (139.7533413908284 35.66559637366667)
らぁめん ほりうち 新橋店	3.67	新橋駅	03-6435-8970	東京都港区新橋3-19-4 桜井ビル 1F	35.66486884387409	139.757498979066	［月～木］7:00〜翌3:00［金］7:00〜翌4:30［土］11:00〜翌3:00［日・祝］11:00〜23:00	無休	22席 （カウンター14席／テーブル2卓8席）	https://tabelog.com/tokyo/A1301/A130103/13156562/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/81893/81893243.jpg?token=3e6dd9c&api=v2	1	0	0	POINT (139.757498979066 35.66486884387409)
タンメンしゃきしゃき 新橋店	3.67	新橋駅	050-5592-9351	東京都港区新橋4-6-7	35.66471345609261	139.75583428000093	［月～金］11:00～23:30［土・日・祝］11:00～22:00	無休	17席 （カウンター11席、テーブル2人用×3）	https://tabelog.com/tokyo/A1301/A130103/13126066/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/59454/59454823.jpg?token=13e9681&api=v2	1	0	0	POINT (139.7558342800009 35.66471345609261)
きたかた食堂	3.67	新橋駅	不明の為情報お待ちしております	東京都港区新橋5-9-8 永島ビル 1F	35.663632733037595	139.75552991059274	月〜金07:00〜16:00土07:00〜15:00祝日も営業スープ切れ次第終了	日曜のみ	13席 （カウンター9席）	https://tabelog.com/tokyo/A1301/A130103/13194993/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/117765/117765198.jpg?token=131ed55&api=v2	1	0	0	POINT (139.7555299105927 35.66363273303759)
ふぐだし潮 八代目けいすけ	3.66	銀座駅	03-6228-5033	東京都中央区銀座5-2-1 東急プラザ銀座 B2F	35.671949735647345	139.76208065029118	11:00～23:00（L.O.22:45）	不定休(東急プラザ銀座に準ずる)	25席	https://tabelog.com/tokyo/A1301/A130101/13193770/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/51425/51425854.jpg?token=d62ae78&api=v2	1	0	0	POINT (139.7620806502912 35.67194973564735)
カシムラ	3.66	汐留駅	03-3434-5855	東京都港区東新橋2-10-2 中銀新橋マンシオン 101	35.66134132909847	139.75653965445625	[平日]11:00～15:0017:30～21:00[土曜]11:00～15:00※いずれの営業時間も材料切れ次第終了	日曜日・祝日	11席 （カウンター7席、テーブル4席）	https://tabelog.com/tokyo/A1301/A130103/13169052/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/49425/49425805.jpg?token=fc90681&api=v2	1	0	0	POINT (139.7565396544562 35.66134132909847)
銀座 魄瑛	3.66	東銀座駅	03-3542-6190	東京都中央区銀座4-10-1 HOLON GINZA 2F	35.67075440318862	139.76753330803936	11:30～15:30(L.O.15:00)16:30～19:30(L.O.19:00)	日曜、月曜	6席 （カウンター6席）	https://tabelog.com/tokyo/A1301/A130101/13222484/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/117228/117228024.jpg?token=69162bf&api=v2	1	0	0	POINT (139.7675333080394 35.67075440318862)
らーめん一郎	3.65	銀座駅	03-6263-0916	東京都中央区銀座3-2-13 江戸常ビルＢ1Ｆ	35.673026887640155	139.76465594237496	平日、 11:00～23:00(L.O22:40)土曜、 11:00～22:00(L.O21:40)日曜、祭日11:00～21:00(L.O22:40）但し、スープが無くなる次第、営業終了。	不定休	7席 （カウンター7席）	https://tabelog.com/tokyo/A1301/A130101/13203526/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/62250/62250070.jpg?token=4046f8f&api=v2	1	0	0	POINT (139.764655942375 35.67302688764016)
煮干麺 新橋 月と鼈	3.65	新橋駅	03-3433-8103	東京都港区新橋3-14-6 駒場ビル 1F	35.66550448563605	139.7560083957868	11:30～16:00／18:00～22:00	日曜日		https://tabelog.com/tokyo/A1301/A130103/13203825/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/117840/117840356.jpg?token=f1c9622&api=v2	1	0	0	POINT (139.7560083957868 35.66550448563605)
田中そば店 新橋店	3.65	内幸町駅	03-6550-8766	東京都港区西新橋1-18-10 佐々木ビル 1F	35.66742395298017	139.75317048754346	11:00～16:00,17:00～21:00(土祝11:00～16:00)	土日祝日定休	10席 （カウンター10席）	https://tabelog.com/tokyo/A1301/A130103/13211386/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/92311/92311933.jpg?token=ec131c5&api=v2	1	0	0	POINT (139.7531704875435 35.66742395298017)
焼きあご塩らー麺たかはし 銀座店	3.64	東銀座駅	03-6263-9438	東京都中央区銀座5-10-10 オリジナル第一ビル1Ｆ	35.66975530405972	139.76528187435437	[月～土・祝日前]11：00～翌4：00[日・祝]11：00～23：00（L.O22：45）※日曜日が祝前日の場合を除く【2019ゴールデンウィーク特別営業のお知らせ】4月27日～5月5日11：00～翌4：00まで営業5月6日(祝）11：00～23：00まで営業	年中無休	10席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13212146/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/80757/80757186.jpg?token=a924973&api=v2	1	0	0	POINT (139.7652818743544 35.66975530405972)
銀座 篝 本店 （カガリ）	3.64	銀座駅	03-6263-8900	東京都中央区銀座6-4-12 1F	35.6712400774738	139.76140185045048	11:00〜15:30、17:30〜?	不定休	17席	https://tabelog.com/tokyo/A1301/A130101/13230021/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/119696/119696507.jpg?token=59f7443&api=v2	1	0	0	POINT (139.7614018504505 35.6712400774738)
麺屋 味方	3.64	新橋駅	不明の為情報お待ちしております	東京都港区新橋4-6-10	35.66473622707317	139.755584577468	【朝の部】　※まかないサンド&ホットコーヒーのみ　 [月･火･木･金]　07:00〜09:00【昼&夜の部】　[月～金]　11:00～16:00 (L.O.15:45), 18:00～21:00 (L.O.20:45)　[土] 　10:00～14:00　[祝] 　不定(公式Instagramを要確認)臨休･時間変更等が頻繁にあるので公式Instagram要確認	日曜日	6席	https://tabelog.com/tokyo/A1301/A130103/13220344/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/116365/116365550.jpg?token=3de0d33&api=v2	1	0	0	POINT (139.755584577468 35.66473622707317)
萬福 （まんぷく）	3.63	東銀座駅	03-3541-7210	東京都中央区銀座2-13-13	35.67128132523413	139.76947756675287	[月～金]11:00～15:30(L.O.15:00) 17:00～23:00(L.O.22:30)[土]11:00～15:30(L.O.15:00) 17:00～22:00(L.O)	日曜・祝日の月曜	27席 （カウンター7席、テーブル席20席）	https://tabelog.com/tokyo/A1301/A130101/13002324/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/96264/96264352.jpg?token=3e0a8cf&api=v2	1	0	0	POINT (139.7694775667529 35.67128132523413)
麺屋ひょっとこ 銀座店	3.63	銀座駅	03-6263-8757	東京都中央区銀座6-3-15 銀座昭和イーティングビル 1F	35.67146224943619	139.76086923825702	[月～金]11:30～22:30[土]11:30～17:30	日曜日・祝日	9席	https://tabelog.com/tokyo/A1301/A130101/13222529/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/106100/106100278.jpg?token=0988283&api=v2	1	0	0	POINT (139.760869238257 35.67146224943619)
孫作 （まごさく）	3.62	内幸町駅	03-6206-6646	東京都港区西新橋1-16-2	35.66776282527189	139.7542953785191	[月～金] 11:00～16:00(L.O.15:45) 17:30～22:00 [土] 11:00～16:00(L.O.15:45)	日曜日	15席 （カウンター9席、壁向きカウンター6席）	https://tabelog.com/tokyo/A1301/A130103/13222279/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/112882/112882989.jpg?token=34f5de3&api=v2	1	0	0	POINT (139.7542953785191 35.66776282527189)
船見坂 （ふなみざか）	3.61	東銀座駅	03-5565-5541	東京都中央区銀座2-12-11	35.671384923080595	139.76935257235934	[月～金]11:00～翌4:00[土・日・祝]11:00～22:00	無休	17席 （カウンター9席、テーブル4席×2卓）	https://tabelog.com/tokyo/A1301/A130101/13004985/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/114906/114906759.jpg?token=8f9fda1&api=v2	1	0	0	POINT (139.7693525723593 35.67138492308059)
らーめん バリ男	3.61	虎ノ門駅	03-6273-3933	東京都港区西新橋1-21-1	35.668467159486816	139.7522977342166	[月～金]11:00～23:00（昼休憩なし）[土・日・祝]11:00～15:0017:00～21:00	年中無休（年末年始除く）	12席 （L字カウンター（7席+5席））	https://tabelog.com/tokyo/A1301/A130103/13112970/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/76270/76270284.jpg?token=12cf8d8&api=v2	1	0	0	POINT (139.7522977342166 35.66846715948682)
長浜屋台 やまちゃん 銀座店	3.59	東銀座駅	03-5565-1838	東京都中央区銀座3-11-10	35.67042139890304	139.7684293600656	[月～土]11:00～15:00(ランチタイム)15:00〜翌4:00(L.O.翌3:45)[祝]11:00～15:00(ランチタイム)15:00〜23:00	日曜	18席 （カウンター10席、テーブル2卓(4人×2)）	https://tabelog.com/tokyo/A1301/A130101/13004982/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/1235/1235440.jpg?token=5a18ffc&api=v2	1	0	0	POINT (139.7684293600656 35.67042139890304)
香味徳 銀座店 （kamitoku）	3.59	銀座一丁目駅	03-3561-5190	東京都中央区銀座1-13-6 ヤマトビル　1F	35.673579415094096	139.76961106096908	11:00～23:00（L.O.22:30）	なし	11席 （カウンター１１席）	https://tabelog.com/tokyo/A1301/A130101/13112492/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/41027/41027295.jpg?token=cab649a&api=v2	1	0	0	POINT (139.7696110609691 35.6735794150941)
共楽 （きょうらく）	3.59	銀座一丁目駅	03-3541-7686	東京都中央区銀座2-10-12	35.672107325425294	139.76818541381326	[月～金]11:00～18:00[土]11:00～16:00	日曜日・祝日	18席 （カウンター9席、テーブル席4×2席）	https://tabelog.com/tokyo/A1301/A130101/13002327/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/118638/118638949.jpg?token=5cbbdd6&api=v2	1	0	0	POINT (139.7681854138133 35.67210732542529)
博多長浜ラーメン 呑龍 （はかたながはまらーめんどんりゅう）	3.58	汐留駅	03-3575-1052	東京都港区東新橋1-2-13 川岸会館　１Ｆ	35.66454769637511	139.7590337441398	[月～金]11:00～翌4:30[土・日・祝]11:00～22:30頃	無休	23席 （カウンター7席、テーブル4卓(4人×4)）	https://tabelog.com/tokyo/A1301/A130103/13015066/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/119514/119514399.jpg?token=6d72037&api=v2	1	0	0	POINT (139.7590337441398 35.66454769637511)
くるめや	3.58	内幸町駅	03-6268-8155	東京都港区西新橋1-18-11 ル・グラシエルビル15	35.66744723872055	139.75312088425454	[月～土]11:00～14:0017:00～22:00	日・祝日	11席 （カウンター11席）	https://tabelog.com/tokyo/A1301/A130103/13171524/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/67524/67524669.jpg?token=1ec7657&api=v2	1	0	0	POINT (139.7531208842545 35.66744723872055)
駿 （シュン）	3.57	新橋駅	03-3436-2200	東京都港区新橋3-11-5 新橋グランディアビル 1F	35.66612413921163	139.75587282296058	11:30～14:0017:30～23:30			https://tabelog.com/tokyo/A1301/A130103/13164517/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/23852/23852226.jpg?token=18a7c62&api=v2	1	0	0	POINT (139.7558728229606 35.66612413921163)
岡山中華そば 後楽本舗 （こうらくほんぽ）	3.56	新橋駅	03-3289-2055	東京都港区新橋2-18-2	35.667064093117794	139.7589897430457	[月～土]10:00～翌6:00[日曜日]11:30～20:00	無休	26席 （テーブル26席）	https://tabelog.com/tokyo/A1301/A130103/13011565/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/103640/103640278.jpg?token=3da506e&api=v2	1	0	0	POINT (139.7589897430457 35.66706409311779)
麺屋虎杖 有楽町 （イタドリ）	3.56	有楽町駅	03-3215-3955	東京都千代田区有楽町2-10-1 東京交通会館 B1F	35.674986395161866	139.76436337645322	[月～土]11:00～22:30（22:00 LO）[日・祝]11:00～21:30（21:00 LO）	不定休	20席	https://tabelog.com/tokyo/A1301/A130102/13206372/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/116360/116360666.jpg?token=b3f6700&api=v2	1	0	0	POINT (139.7643633764532 35.67498639516187)
中華三原 （ちゅうかみはら）	3.56	東銀座駅	03-3571-4359	東京都中央区銀座5-9-5	35.670320248901284	139.76558348996082	[月～金] 17:00～21:30[土]17:00～21:00	日・祝	18席 （カウンター8席、テーブル10席）	https://tabelog.com/tokyo/A1301/A130101/13007768/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/118003/118003194.jpg?token=68bbf13&api=v2	1	0	0	POINT (139.7655834899608 35.67032024890128)
六厘舎	3.79	東京駅	03-3286-0166	東京都千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート内	35.680144244411686	139.76823365088387	7:30～9:45（L.O.9:30）10:00～23:00（L.O.22:30）	年中無休	26席 （カウンター１０席　２人掛けテーブル席８卓）	https://tabelog.com/tokyo/A1302/A130201/13093047/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/113486/113486206.jpg?token=ce0fdab&api=v2	1	1	1	POINT (139.7682336508839 35.68014424441169)
麺や 七彩 （しちさい）	3.78	八丁堀駅	03-5566-9355	東京都中央区八丁堀2-13-2	35.67718303495918	139.77627617484814	11:00～15:0017:00～21:00	第3火曜	13席 （カウンター席のみ）	https://tabelog.com/tokyo/A1302/A130203/13184399/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/63978/63978429.jpg?token=444a29e&api=v2	1	1	0	POINT (139.7762761748481 35.67718303495918)
なな蓮	3.76	三越前駅	03-3516-6288	東京都中央区日本橋室町1-8-7 東信室町ビル 1F	35.68454307241642	139.7757814326225	当店では手作りにこだわり、お客様にご満足いただける商品を心がけております。そのため一日にご提供できる量に限りがございます。商品の品質を維持するため営業時間の変更をさせていただきます。ご理解のほど宜しくお願い致します。月～金曜11:00～スープ終了まで(約20:00目処)中休みは致しません。土、日、祝日11:00～スープ終了まで※ご心配な方はお電話にて確認下さい。	不定休	18席	https://tabelog.com/tokyo/A1302/A130202/13162497/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/60726/60726806.jpg?token=e4c6582&api=v2	1	1	0	POINT (139.7757814326225 35.68454307241642)
トナリ 丸の内店	3.73	二重橋前駅	03-3240-6066	東京都千代田区丸の内2-7-3 東京ビルTOKIA B1F	35.67855240941701	139.76475206887545	11:00 ～ 21:45	無休	17席 （カウンターのみ）	https://tabelog.com/tokyo/A1302/A130201/13111899/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/80738/80738434.jpg?token=c2ff5ee&api=v2	1	1	0	POINT (139.7647520688755 35.67855240941701)
麺 やまらぁ	3.73	人形町駅	非公開	東京都中央区日本橋人形町2-29-3	35.68691520009927	139.78489473321326	［月～金］11:00～15:00 17:00～22:00［土・日・祝］11:00～16:00	基本無休　夏季、年末年始等臨時休業は店頭並びに公式twitterアカウントにて告知します	10席 （カウンター10席）	https://tabelog.com/tokyo/A1302/A130204/13104793/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/42467/42467338.jpg?token=c13f332&api=v2	1	1	0	POINT (139.7848947332133 35.68691520009927)
ソラノイロ ニッポン （ソラノイロ NIPPON）	3.71	東京駅	050-5597-4752	東京都千代田区丸の内1-9-1 東京駅一番街 B1F	35.68031894403737	139.7680097725446	8:30～23:00(L.O.22:30)朝ラー、ランチ営業、夜10時以降入店可、日曜営業	無休	26席	https://tabelog.com/tokyo/A1302/A130201/13183558/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/46108/46108484.jpg?token=bb420ed&api=v2	1	0	0	POINT (139.7680097725446 35.68031894403737)
ソラノイロ トンコツ&キノコ	3.71	京橋駅	03-6262-3545	東京都中央区京橋2-2-1 京橋エドグラン B1F	35.67728818302792	139.7694942332465	[月～金] 11:00～16:30(L.O.16:00)18:00〜22:30(L.O.22:15)[土・日・祝] 11:00～15:30(L.O.15:00)	年中無休	20席	https://tabelog.com/tokyo/A1302/A130202/13202576/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/87436/87436070.jpg?token=76b3dfb&api=v2	1	0	0	POINT (139.7694942332465 35.67728818302792)
crab台風。 （クラブタイフウ）	3.71	人形町駅	03-6667-0600	東京都中央区日本橋蛎殻町1-9-5 大鷲ビル1F	35.68335468932553	139.78155850755226	11:00～15:0017:00～21:00	無休（年末年始休みあり）	10席 （カウンター3+7席）	https://tabelog.com/tokyo/A1302/A130204/13222565/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/117865/117865016.jpg?token=a6f7eeb&api=v2	1	1	0	POINT (139.7815585075523 35.68335468932553)
博多ラーメン しばらく 日本橋店	3.68	水天宮前駅	03-3665-0088	東京都中央区日本橋蛎殻町2-14-4	35.684633807553155	139.78661802846668	[月～土]11:00～翌1:00[日・祝]11:00～20:00	無休	32席 （２F席もあり、団体OK）	https://tabelog.com/tokyo/A1302/A130204/13008065/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/105676/105676717.jpg?token=8f382be&api=v2	1	0	0	POINT (139.7866180284667 35.68463380755315)
ラーメン雷鳥 （サンダーバード）	3.68	茅場町駅	03-6661-7341	東京都中央区日本橋小網町4-4 カネカビル 1F	35.68170404079566	139.78203076655265	【平日】11:00～14:0017:00～22:00	土曜・日曜・祝日	16席 （カウンター6席、テーブル10席）	https://tabelog.com/tokyo/A1302/A130203/13142437/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/48492/48492782.jpg?token=0b1bf4f&api=v2	1	0	0	POINT (139.7820307665527 35.68170404079566)
松戸富田麺絆	3.67	東京駅	03-6259-1133	東京都千代田区丸の内2-7-2 KITTE 丸の内 B1F	35.679840055399865	139.7650917036055	［月～金］11:00～22:00(L.O.)［土・日・祝］11:00～21:00(L.O.)	元日・法令点検日(※詳しくはお問合せください。)	27席	https://tabelog.com/tokyo/A1302/A130201/13232095/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/103321/103321552.jpg?token=2d2340f&api=v2	1	0	0	POINT (139.7650917036055 35.67984005539986)
東京駅 斑鳩 （いかるが）	3.63	東京駅	03-3286-3586	東京都千代田区丸の内1-9-1 東京駅一番街 B1F	35.680263671909586	139.76799477633486	9:30～23:00(L.O.22:30)	無休	24席 （テーブル２卓）	https://tabelog.com/tokyo/A1302/A130201/13124609/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/54925/54925644.jpg?token=b676516&api=v2	1	0	0	POINT (139.7679947763349 35.68026367190959)
昭和 （しょうわ）	3.62	茅場町駅	03-3249-0002	東京都中央区日本橋茅場町3-8-12 茅場町鈴藤ビル 1F	35.67772134043568	139.7779776754208	11:00～15:00／18:00～23:30（L.O.） 　売り切れ次第終了	土曜日、日曜日、祝日、年末年始休業	8席 （カウンター8席　お昼は10席・夜は8～9席 ）	https://tabelog.com/tokyo/A1302/A130203/13045473/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/117707/117707519.jpg?token=67e69e3&api=v2	1	0	0	POINT (139.7779776754208 35.67772134043568)
人形町 兎屋	3.62	人形町駅	03-6264-8490	東京都中央区日本橋人形町3-9-2	35.68694514514883	139.78193220009493	11:00～15:00(L.O) 17:30～21:00(L.O)※売り切れ仕舞いあり		10席 （カウンター10席）	https://tabelog.com/tokyo/A1302/A130204/13207332/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/117853/117853903.jpg?token=c07c0b1&api=v2	1	0	0	POINT (139.7819322000949 35.68694514514883)
ますたにラーメン 日本橋本店	3.61	日本橋駅	03-3272-8548	東京都中央区日本橋1-6-7 日本橋関谷ビル　 1Ｆ	35.682649934201386	139.77535933261916	[平日]10:30～23:00[土・日(第１日曜を除く)・祝]10:30～22:30[第１日曜]10:30～15:00	不定休	28席 （カウンター席のみ）	https://tabelog.com/tokyo/A1302/A130202/13000508/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/116939/116939160.jpg?token=46305f3&api=v2	1	0	0	POINT (139.7753593326192 35.68264993420139)
