name	score	station	tel	address	latitude	longitude	open_time	closed_days	sheets	url	icon_url
175°DENO担担麺 GINZa （ヒャクナナジュウゴド デノタンタンメン）	3.59	銀座一丁目駅	03-6264-4044	東京都中央区銀座2-6-16 銀座第2吉田ビル B1F	35.67357103862332	139.7670901596042	【月曜〜日曜 祝日】11:30～22:00（L.O 22:00) 日曜営業	無休 (年末年始、他)	21席 （カウンター11席、テーブル4卓10席）	https://tabelog.com/tokyo/A1301/A130101/13216879/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/81149/81149503.jpg?token=4f2cf1b&api=v2
らーめんダイニング ど・みそ 京橋本店	3.58	銀座一丁目駅	03-6904-3700	東京都中央区京橋3-4-3 千成ビル　１Ｆ	35.67539114122387	139.76820664974568	[月～金]11:00～22:30(L.O)[土・日・祝]11:00～21:00(L.O)全日、中休み無しの通し営業です 日曜営業	無休	9席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13031470/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/26984/26984422.jpg?token=e0fef0a&api=v2
長浜屋台 やまちゃん 銀座店	3.58	東銀座駅	03-5565-1838	東京都中央区銀座3-11-10	35.67042139890304	139.7684293600656	月～土11:00～翌4:00(ランチタイム11:00～15:00)日11：00～20：00（ランチタイム11：00～15：00）（ライスのみ）祝11:00～23:00(ランチタイム11:00～15:00)	当面日曜休業(2016Nov13)	18席 （カウンター10席、テーブル8席）	https://tabelog.com/tokyo/A1301/A130101/13004982/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/1235/1235440.jpg?token=5a18ffc&api=v2
らぁめん ほりうち 新橋店	3.58	新橋駅	03-6435-8970	東京都港区新橋3-19-4 桜井ビル 1F	35.664868843874096	139.757498979066	【月～木】AM7:00〜翌AM3:00【金】　　AM7:00〜翌AM4:30【土】　　AM11:00〜翌AM3:00【日・祝】AM11:00〜PM23:00 日曜営業	無休	22席 （カウンター１４席、テーブル席８席）	https://tabelog.com/tokyo/A1301/A130103/13156562/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/81893/81893243.jpg?token=3e6dd9c&api=v2
タンメンしゃきしゃき 新橋店	3.58	新橋駅	050-5592-9351	東京都港区新橋4-6-7	35.66471345609262	139.7558342800009	［月～金］11:00～23:30［土・日・祝］11:00～22:00 日曜営業	無休	17席 （カウンター11席、テーブル2人用×3）	https://tabelog.com/tokyo/A1301/A130103/13126066/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/59454/59454823.jpg?token=13e9681&api=v2
香味徳 銀座店 （kamitoku）	3.58	銀座一丁目駅	03-3561-5190	東京都中央区銀座1-13-6 ヤマトビル　1F	35.673579415094096	139.76961106096908	11:00～23:00（L.O.22:30） 日曜営業	なし	11席 （カウンター１１席）	https://tabelog.com/tokyo/A1301/A130101/13112492/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/41027/41027295.jpg?token=cab649a&api=v2
岡山中華そば 後楽本舗 （こうらくほんぽ）	3.58	新橋駅	03-3289-2055	東京都港区新橋2-18-2	35.6670640931178	139.7589897430457	[月～土]10:00～翌7:00(L.O.翌6:30)[日曜日]11:30～20:00 日曜営業	無休	26席 （テーブル26席）	https://tabelog.com/tokyo/A1301/A130103/13011565/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/49362/49362721.jpg?token=8f3bb98&api=v2
銀座鴨そば 九代目けいすけ 銀座店	3.58	東銀座駅	03-6274-6655	東京都中央区銀座6-12-15 いちご銀座612ビル 1F	35.6692734011902	139.7647111106106	11:00～23:00(L.O.22:45) 日曜営業	無休	18席 （カウンター10席、テーブル8席）	https://tabelog.com/tokyo/A1301/A130101/13171787/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/40054/40054730.jpg?token=c640536&api=v2
船見坂 （ふなみざか）	3.58	東銀座駅	03-5565-5541	東京都中央区銀座2-12-11	35.67138492308059	139.76935257235937	[月～金]11:00～翌4:00[土・日・祝]11:00～22:00 日曜営業	無休	17席 （カウンター9席、テーブル4席×2卓）	https://tabelog.com/tokyo/A1301/A130101/13004985/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/91279/91279332.jpg?token=0980d12&api=v2
らーめん バリ男	3.58	虎ノ門駅	03-6273-3933	東京都港区西新橋1-21-1	35.668467159486816	139.7522977342166	[月～金]11:00～23:00（昼休憩なし）[土・日・祝]11:00～15:0017:00～21:00 日曜営業	年中無休（年末年始除く）	12席 （L字カウンター（7席+5席））	https://tabelog.com/tokyo/A1301/A130103/13112970/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/76270/76270284.jpg?token=12cf8d8&api=v2
ふぐだし潮 八代目けいすけ	3.58	銀座駅	03-6228-5033	東京都中央区銀座5-2-1 東急プラザ銀座 B2F	35.672479693478365	139.76291166798615	11:00～23:00（L.O.22:45） 日曜営業	不定休(東急プラザ銀座に準ずる)	25席	https://tabelog.com/tokyo/A1301/A130101/13193770/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/51425/51425854.jpg?token=d62ae78&api=v2
博多長浜ラーメン 呑龍 （はかたながはまらーめんどんりゅう）	3.58	汐留駅	03-3575-1052	東京都港区東新橋1-2-13 川岸会館　１Ｆ	35.664548807377116	139.7590342995981	[月～金]11:00～翌4:30[土・日・祝]11:00～22:30頃 日曜営業	無休	23席 （カウンター7席、テーブル4卓(4人×4)）	https://tabelog.com/tokyo/A1301/A130103/13015066/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/88915/88915916.jpg?token=381a109&api=v2
麺家 いし川	3.58	新橋駅	03-3432-0230	東京都港区西新橋2-23-2 日比谷パークビル 1F	35.66559692916765	139.75334166855748	11:00～15:0017:00～22:00（L.O.21:30）	日曜	12席 （カウンター席のみ）	https://tabelog.com/tokyo/A1301/A130103/13139811/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/92696/92696337.jpg?token=85f65aa&api=v2
きたかた食堂	3.58	新橋駅	不明の為情報お待ちしております	東京都港区新橋5-9-8 永島ビル 1F	35.66363273303759	139.75552991059274	月〜土07:00〜16:00祝日も営業スープ切れ次第終了	日曜のみ	13席 （カウンター9席）	https://tabelog.com/tokyo/A1301/A130103/13194993/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/93849/93849310.jpg?token=05e1221&api=v2
カシムラ	3.58	汐留駅	03-3434-5855	東京都港区東新橋2-10-2 中銀新橋マンシオン 101	35.66134132909847	139.75653965445625	[平日]11:00～15:0017:30～21:00[土曜]11:00～15:00※いずれの営業時間も材料切れ次第終了	日曜日・祝日	11席 （カウンター7席、テーブル4席）	https://tabelog.com/tokyo/A1301/A130103/13169052/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/49425/49425805.jpg?token=fc90681&api=v2
らーめん一郎	3.58	銀座駅	03-6263-0916	東京都中央区銀座3-2-13 江戸常ビルＢ1Ｆ	35.673026887640155	139.76465594237496	平日、 11:00～23:00(L.O22:40)土曜、 11:00～22:00(L.O21:40)日曜、祭日11:00～21:00(L.O22:40）但し、スープが無くなる次第、営業終了。 日曜営業	不定休	7席 （カウンター7席）	https://tabelog.com/tokyo/A1301/A130101/13203526/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/72759/72759825.jpg?token=95c183a&api=v2
焼きあご塩らー麺たかはし 銀座店	3.58	東銀座駅	03-6263-9438	東京都中央区銀座5-10-10 オリジナル第一ビル1Ｆ	35.66975530405972	139.76528187435437	[月～土・祝日前]11：00～翌4：00[日・祝]11：00～23：00※日曜日が祝前日の場合を除く【ゴールデンウィーク特別営業のお知らせ】4月28日～5月5日11：00～翌4：00まで営業5月6日11：00～23：00まで営業 日曜営業	無休	10席 （カウンターのみ）	https://tabelog.com/tokyo/A1301/A130101/13212146/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/80757/80757186.jpg?token=a924973&api=v2
くるめや	3.58	内幸町駅	03-6268-8155	東京都港区西新橋1-18-11 ル・グラシエルビル15	35.66744723872055	139.75312088425454	[月～土]11:00～14:0017:00～22:00	日・祝日	11席 （カウンター11席）	https://tabelog.com/tokyo/A1301/A130103/13171524/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/67524/67524669.jpg?token=1ec7657&api=v2
田中そば店 新橋店	3.58	内幸町駅	03-6550-8766	東京都港区西新橋1-18-10 佐々木ビル 1F	35.66742395298017	139.75317048754346	11:00～22:00(土日祝日11:00～21:00)	日曜休業	10席 （カウンター10席）	https://tabelog.com/tokyo/A1301/A130103/13211386/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/92311/92311933.jpg?token=ec131c5&api=v2
煮干麺 新橋 月と鼈	3.58	新橋駅	03-3433-8103	東京都港区新橋3-14-6	35.6655392049209	139.75605283494204	[月～土]11:30～16:00　18:00～22:00月･水･金の 夕方は17:00～(祝祭除く)	日曜日		https://tabelog.com/tokyo/A1301/A130103/13203825/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/92337/92337320.jpg?token=8d8ee1e&api=v2
四条富小路 麺屋虎杖 有楽町 （イタドリ）	3.57	有楽町駅	03-3215-3955	東京都千代田区有楽町2-10-1 東京交通会館 B1F	35.67498695066285	139.76436365418238	[月～土]11:00～22:30（22:00 LO）[日・祝]11:00～21:30（21:00 LO） 日曜営業	不定休	20席	https://tabelog.com/tokyo/A1301/A130102/13206372/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/90489/90489820.jpg?token=9576837&api=v2
萬福 （まんぷく）	3.56	東銀座駅	03-3541-7210	東京都中央区銀座2-13-13	35.67132076699802	139.76956561318022	11:00～15:30 17:00～23:00(LO22:30)	日曜・祝日	27席 （カウンター7席、テーブル席20席）	https://tabelog.com/tokyo/A1301/A130101/13002324/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/60276/60276985.jpg?token=d66138b&api=v2
陳家私菜 有楽町店	3.56	有楽町駅	050-5869-6490	東京都千代田区丸の内3-1-1 国際ビル 　Ｂ１Ｆ	35.67698757743406	139.7611810686905	※連休期間の営業5月3日～5月6日の間はお休みとさせて頂いております。【平日】ランチ　　11:30～15:00（L.O. 14:30）ディナー　17:30～23:30（L.O. 22:45）【祝・土・日】ランチ　　11:30～15:00（L.O. 14:30）ディナー　17:30～21:30（L.O. 21:00）貸切でのご利用は人数・ご予算ご相談下さい。	無休　※ただし12/30～1/2は年末年始のお休みとさせていただいております。1/3より営業開始いたします。	140席	https://tabelog.com/tokyo/A1301/A130102/13120665/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/22637/22637453.jpg?token=7e0a090&api=v2
ごまる	3.56	銀座一丁目駅	03-3563-0888	東京都中央区銀座1-14-5 銀座ウイングビル	35.673384994021426	139.769758557671	[月～金]11:00～15:30(L.O.15:15) 17:30〜21:30(L.O.21:15)[土・日・祝]11:00～16:00 日曜営業	無休	36席 （カウンター6席、テーブル30席）	https://tabelog.com/tokyo/A1301/A130101/13192294/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/74076/74076870.jpg?token=6d23111&api=v2
駿 （シュン）	3.56	新橋駅	03-3436-2200	東京都港区新橋3-11-5 新橋グランディアビル 1F	35.66612469471263	139.7558731006897	11:30～14:0017:30～23:30			https://tabelog.com/tokyo/A1301/A130103/13164517/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/23852/23852226.jpg?token=18a7c62&api=v2
めん徳 二代目 つじ田 新橋店	3.55	虎ノ門駅	非公開	東京都港区西新橋1-19-6 桔梗備前ビル 1F	35.667565892776565	139.75269289239216	[月～金] 10:30～23:30 [土・祝日] 11:00～16:00	日曜日	14席	https://tabelog.com/tokyo/A1301/A130103/13164525/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/28573/28573841.jpg?token=645a06a&api=v2
汁なし担担麺専門 キング軒 銀座出張所	3.55	銀座一丁目駅	03-5579-9952	東京都中央区銀座1-6-10 銀座上一ビルディング TAU 1F	35.67433957191688	139.76734121448055	[月〜金]11:00～15:00 17:00～20:00 (LO 19:45)[土・日・祝]11:00～20:00 (LO 19:45) 日曜営業	無休	10席	https://tabelog.com/tokyo/A1301/A130101/13207956/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/92714/92714681.jpg?token=6a1d9ee&api=v2
チャイニーズダイニング ミユ 銀座 （Chinese Dining 美虎）	3.55	銀座駅	050-5594-8759	東京都中央区銀座5-7-10 イグジットメルサ 7F	35.67064935373097	139.76405860145005	【月～金】ランチ11:00～15:00（L.O.14:00）ディナー17:30～23:00（L.O.22:00、ドリンクL.O.22:00） 【土・日・祝】11:00～22:00（L.O.21:00、ドリンクL.O.21:00） 日曜営業	不定休(イグジットメルサに準ずる)	40席 （カウンター席が６席ございます。）	https://tabelog.com/tokyo/A1301/A130101/13205389/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/78987/78987633.jpg?token=661bba4&api=v2
中華三原 （ちゅうかみはら）	3.54	東銀座駅	03-3571-4359	東京都中央区銀座5-9-5	35.67032024890128	139.76558348996082	[月～金] 17:00～21:30[土]17:00～21:00	日・祝	18席 （カウンター8席、テーブル10席）	https://tabelog.com/tokyo/A1301/A130101/13007768/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/91082/91082212.jpg?token=2646aac&api=v2
松富 （まつとみ）	3.54	銀座駅	03-3289-3465	東京都中央区銀座6-4-16 花椿ビル　１Ｆ	35.67133312482831	139.7615021156172	[月～金]11:00～15:00 17:00～翌4:00[土・祝]11:00～15:00	日曜	19席 （カウンター19席）	https://tabelog.com/tokyo/A1301/A130101/13000573/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/77028/77028350.jpg?token=9f9baac&api=v2
六厘舎	3.61	東京駅	03-3286-0166	東京都千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート内	35.68014479991266	139.76823392861303	07:30～09:45（L.O.09:30）10:30～23:00（L.O.22:30） 日曜営業	年中無休	26席 （カウンター１０席　２人掛けテーブル席８卓）	https://tabelog.com/tokyo/A1302/A130201/13093047/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/71342/71342043.jpg?token=660ba28&api=v2
麺や七彩 （しちさい）	3.61	八丁堀駅	03-5566-9355	東京都中央区八丁堀2-13-2	35.677183590460174	139.7762764525773	[月〜金]11:00～15:30(L.O) 17:30～22:30(L.O)[土・日・祝]11:00〜21:00(L.O) 日曜営業	第3火曜	13席 （カウンター席のみ）	https://tabelog.com/tokyo/A1302/A130202/13184399/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/63978/63978429.jpg?token=444a29e&api=v2
なな蓮	3.60	三越前駅	03-3516-6288	東京都中央区日本橋室町1-8-7 東信室町ビル 1F	35.68454307241642	139.77578143262247	当店では手作りにこだわり、お客様にご満足いただける商品を心がけております。そのため一日にご提供できる量に限りがございます。商品の品質を維持するため営業時間の変更をさせていただきます。ご理解のほど宜しくお願い致します。月～金曜11:00～スープ終了まで(約20:00目処)中休みは致しません。土、日、祝日11:00～スープ終了まで※ご心配な方はお電話にて確認下さい。 日曜営業	不定休	18席	https://tabelog.com/tokyo/A1302/A130202/13162497/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/60726/60726806.jpg?token=e4c6582&api=v2
ソラノイロ トンコツ&キノコ	3.59	京橋駅	03-6262-3545	東京都中央区京橋2-2-1 京橋エドグラン B1F	35.677288738528915	139.7694945109756	[月～金] 11:00～22:00(L.O.21:45) [土・日・祝] 11:00～15:30(L.O.15:00) 日曜営業		20席	https://tabelog.com/tokyo/A1302/A130202/13202576/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/87436/87436070.jpg?token=76b3dfb&api=v2
ひるがお 東京駅店	3.58	東京駅	03-3213-7000	東京都千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート内	35.68022652869294	139.7683093960124	[月～日]10:30～23:30(L.O.23:00) 日曜営業	無休	22席 （カウンター*8、テーブル*14）	https://tabelog.com/tokyo/A1302/A130201/13093048/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/51139/51139549.jpg?token=b2d6e64&api=v2
東京駅 斑鳩 （いかるが）	3.58	東京駅	03-3286-3586	東京都千代田区丸の内1-9-1 東京駅一番街 B1F	35.68026478291159	139.76799533179312	9:30～23:00(L.O.22:30) 日曜営業	無休	24席 （テーブル２卓）	https://tabelog.com/tokyo/A1302/A130201/13124609/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/54925/54925644.jpg?token=b676516&api=v2
ソラノイロ ニッポン （ソラノイロ NIPPON）	3.58	東京駅	03-3211-7555	東京都千代田区丸の内1-9-1 東京駅一番街 B1F	35.68031894403737	139.7680097725446	10:30～23:00(L.O.22:30)ランチ営業、夜10時以降入店可、日曜営業 日曜営業	無休	29席	https://tabelog.com/tokyo/A1302/A130201/13183558/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/46108/46108468.jpg?token=a2bcb67&api=v2
ますたにラーメン 日本橋本店	3.58	日本橋駅	03-3272-8548	東京都中央区日本橋1-6-7 日本橋関谷ビル　 1Ｆ	35.682650489702375	139.77535961034826	[平日]10:30～23:00[土・日(第１日曜を除く)・祝]10:30～22:30[第１日曜]10:30～15:00 日曜営業	不定休	28席 （カウンター席のみ）	https://tabelog.com/tokyo/A1302/A130202/13000508/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/92049/92049093.jpg?token=b432cd9&api=v2
博多ラーメン しばらく 日本橋店	3.58	水天宮前駅	03-3665-0088	東京都中央区日本橋蛎殻町2-14-4	35.68463436305415	139.78661830619578	[月～土]11:00～翌1:00[日・祝]11:00～20:00 日曜営業	無休	32席 （２F席もあり、団体OK）	https://tabelog.com/tokyo/A1302/A130204/13008065/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/38695/38695275.jpg?token=1c6548b&api=v2
麺 やまらぁ	3.58	人形町駅	非公開	東京都中央区日本橋人形町2-29-3	35.68691520009927	139.78489473321326	［月～金］11:00～15:00 17:00～22:00［土・日・祝］11:00～15:0017:00～21:00 日曜営業	年中無休	10席 （カウンター10席）	https://tabelog.com/tokyo/A1302/A130204/13104793/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/42467/42467338.jpg?token=c13f332&api=v2
ちよがみ	3.58	東京駅	03-3211-8833	東京都千代田区丸の内1-9-1 東京駅一番街 B1F	35.68178654302086	139.76676064204713	9:30～23:00(L.O.22:30) 日曜営業	無休	25席 （カウンター 9席、テーブル 16席）	https://tabelog.com/tokyo/A1302/A130201/13183570/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/49496/49496875.jpg?token=823ff92&api=v2
支那麺 はしご 入船店 （しなめんはしご）	3.58	新富町駅	03-3553-2905	東京都中央区入船2-2-13 ライオンズマンション入船　山口ビル	35.67158390526745	139.7759122961957	[月～金]11:00～翌3:00[土・日・祝]11:00～21:00 日曜営業	無休	33席	https://tabelog.com/tokyo/A1302/A130203/13007684/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/3336/3336304.jpg?token=0721369&api=v2
めん徳 二代目 つじ田 日本橋八重洲店	3.58	日本橋駅	03-3527-9373	東京都中央区八重洲1-4-6 八重洲境井ビル １Ｆ	35.682488775180346	139.77162964978874	[月～金］11:00～23:00［土・日・祝］11:00～21:00 日曜営業	不定休	16席 （カウンター席のみ）	https://tabelog.com/tokyo/A1302/A130202/13158035/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/27796/27796870.jpg?token=e45611d&api=v2
ラーメン雷鳥 （サンダーバード）	3.58	茅場町駅	03-6661-7341	東京都中央区日本橋小網町4-4 カネカビル 1F	35.68170404079566	139.78203076655265	【平日】11:00～14:0017:00～22:00	土曜・日曜・祝日	16席 （カウンター6席、テーブル10席）	https://tabelog.com/tokyo/A1302/A130203/13142437/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/48492/48492782.jpg?token=0b1bf4f&api=v2
たいめいけん らーめんコーナー	3.58	日本橋駅	03-3271-2465	東京都中央区日本橋1-12-10	35.682557138718145	139.7756106843916	11:00～20:00(L.O.)	日曜・祝日は立ち食いコーナーなし、レストランに入って注文。	4席 （全席立ち食い）	https://tabelog.com/tokyo/A1302/A130202/13113186/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/72734/72734603.jpg?token=42e2591&api=v2
神田らぁめん悠 （神田らぁめんHARUKA）	3.58	新日本橋駅	03-3274-5333	東京都中央区日本橋室町4-2-15 1F	35.689601903811294	139.77166209737055	[月～土] 11:00～24:00 [日・祝] 11:00～15:00 日曜営業	不定休	14席 （カウンター１４席）	https://tabelog.com/tokyo/A1302/A130202/13189756/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/48135/48135494.jpg?token=39bf431&api=v2
中華そば 三浦	3.58	人形町駅	03-6231-0842	東京都中央区日本橋小網町13-8	35.6833102358427	139.78076885295752	月〜金11:30-15:0018:00-22:30(L.O.21:30)*土日祝定休日	土日祝定休日	28席 （カウンター10席、テーブル18席）	https://tabelog.com/tokyo/A1302/A130204/13167259/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/40052/40052455.jpg?token=2b531bc&api=v2
人形町 兎屋	3.58	人形町駅	03-6264-8490	東京都中央区日本橋人形町3-9-2	35.686945145148826	139.78193220009493	11:00～15:00(L.O) 17:30～21:00(L.O)※売り切れ仕舞いあり 日曜営業		10席 （カウンター10席）	https://tabelog.com/tokyo/A1302/A130204/13207332/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/90947/90947884.jpg?token=bf4080c&api=v2
麺画廊 英 （ハナブサ）	3.58	水天宮前駅	03-6661-9932	東京都中央区日本橋人形町2-35-2	35.68513985895691	139.78629858725225	[火～金] 11:30～14:00 （L.O.13:45）18:00～22:00 （L.O.21:45）[土・日・祝]11:30～14:30 （L.O.14:15）※時間内に終了することもございます。 日曜営業	月曜日(祝日も含む)	9席 （カウンター5席・テーブル2席×2）	https://tabelog.com/tokyo/A1302/A130204/13167149/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/74046/74046097.jpg?token=bf44d04&api=v2
日本橋麺処こはる	3.58	三越前駅	03-6262-0732	東京都中央区日本橋室町1-13-5 1F	35.68633397607595	139.77487142574196	11:00～15:0017:00～21:00	日曜日（祝日は営業）	11席	https://tabelog.com/tokyo/A1302/A130202/13215661/	https://tblg.k-img.com/resize/640x640c/restaurant/images/Rvw/91072/91072293.jpg?token=035ef47&api=v2
